image_file_path,label_file_path,orientation,estimate of missing labelled ommatidia in image,crop,comments (at 10 voxel between ommatidia resolution),
dataset/all/raw_images/Paraphronima_FEG181024_03_head_sp3_1423158b,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_FEG181024_03_head_sp3_1423158b/Paraphronima_03_head_sp_3_1423158b.mat,wrong image,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/Paraphronima_FEG181024_head_sp_3_1423158a,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_FEG181024_head_sp_3_1423158a/Paraphronima_FEG181024_head_sp_3_1423158a.mat,good,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/Paraphronima_FEG181024_head_sp_8_1423158,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_FEG181024_head_sp_8_1423158/Paraphronima_FEG181024_head_sp_8_1423158.mat,good,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/Paraphronima_FEG191028_078,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_FEG191028_078/Paraphronima_FEG191028_078.mat,good,30.00%,,resolution not good enough to resolve rhabdoms, missing lateral eyes
dataset/all/raw_images/Paraphronima_head_04_FEG200130_103,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_head_04_FEG200130_103/Paraphronima_head_04_FEG200130_103.mat,good,1.00%,,resolution not good enough to resolve rhabdoms,
dataset/all/raw_images/Paraphronima_head_05_FEG200130_102,//home/jake/projects/mctv_resfiles/hyperiids/Paraphronima_head_05_FEG200130_102/Paraphronima_head_05_FEG200130_102.mat,good,1.00%,,resolution not good enough to resolve rhabdoms,
dataset/all/raw_images/Phronima_04_FEG200107_089.nii,//home/jake/projects/mctv_resfiles/hyperiids/Phronima_04_FEG2001007_089/all_eyes_upsampled.mat,good,1.00%,,some rhabdoms in the wrong spot,
dataset/all/raw_images/Phronima_05_FEG200107_090.nii,//home/jake/projects/mctv_resfiles/hyperiids/Phronima_05_FEG2001007_090/phronima_05_upsampled.mat,good,50.00%,,half dorsal rhabdoms, rhabdom labels are bottom of cone
dataset/all/raw_images/phronima_20180403.nii,//home/jake/projects/mctv_resfiles/hyperiids/phronima_20180403/left_eye.mat,good,60.00%,,"¼ dorsal rhabdom labels missing, missing lateral eyes",
dataset/all/raw_images/20190608_phronima,//home/jake/projects/mctv_resfiles/hyperiids/phronima_20190608/20190608_phronima.mat,good,60.00%,,"~30% lateral corneas missing, lateral rhabdoms missing,  rhabdom labels are bottom of cone, low resolution",
dataset/all/raw_images/Platyscelus_02_FEG191112_082_downsampled.nii,//home/jake/projects/mctv_resfiles/hyperiids/Platyscelus_02_FEG191112_082/platyscelus_01.mat,,,,image is cutoff as additional labels were found. Image is corrupted? Wrong image annotated?,
dataset/all/raw_images/psyllid_20190906_female_eye.nii,//home/jake/projects/mctv_resfiles/psyllids/psyllid_20190906_female_eye/psyllid_20190906_female_eye.mat,good,1.00%,,"rhabdom labels are bottom of cone, low resolution",
dataset/all/raw_images/psyllid_20190906_male_eye.nii,//home/jake/projects/mctv_resfiles/psyllids/psyllid_20190906_male_eye/psyllid_20190906_male_eye.mat,good,80.00%,,"rhabdoms labelled as corneas (bottom of cone), low resolution",
dataset/all/raw_images/flammula_male_23_6_left,//home/jake/projects/mctv_resfiles/fiddlercrabs/flammula_male_23_6_left/mary_23062021.mat,good,30.00%,,missing rhabdoms,
dataset/all/raw_images/Brachyscelus.nii,//home/jake/projects/mctv_resfiles/hyperiids/brachyscelus_01/right_eye_adjusted.mat,good,50.00%,,all labels missing on one side, other side is complete but rhabdoms labelled adjcent to corneas?
dataset/all/raw_images/platyscelus_01_downsampled.nii,//home/jake/projects/mctv_resfiles/hyperiids/platyscelus_01_downsampled/platyscelus_01.mat,good,70.00%,,"all labels missing on one side, other side incomplete",
dataset/all/raw_images/streetsia_20180409.nii,//home/jake/projects/mctv_resfiles/hyperiids/streetsia_20180409/both_eyes.mat,good,50.00%,,"missing rhabdoms (no file?), corneas complete",
dataset/all/raw_images/streetsia_20190308,//home/jake/projects/mctv_resfiles/hyperiids/streetsia_20190308/matlab.mat,good,50.00%,,"half eye done (completely), low resolution",
dataset/all/raw_images/streetsia_20190325,//home/jake/projects/mctv_resfiles/hyperiids/streetsia_20190325/streetsia_20190325.mat,good,60.00%,,"rhabdoms missing (few at bottom of cone), corneas almost complete",
